Overlap for all tools !
,QARK,AndroBugs,JAADAS,Marvin,SUPER,MobSF,SPECK,AUSERA,Sum_truth_overlap,theory_overlap,true_flag
Logging data leakage,0/0,0/0,0/0,0/0,0/1,1/1,0/0,0/1,1,3,0
SD card/Internal data leakage,0/0,1/1,0/0,0/0,0/1,1/1,1/1,0/1,3,5,0
Using temp file issue,0/0,0/0,0/0,0/0,0/1,1/1,0/0,1/1,2,3,1
SMS data leakage,0/0,0/1,0/0,0/0,0/1,0/1,0/1,0/1,0,5,0
AES encryption misuse,0/0,0/0,0/0,0/1,0/1,0/1,0/1,0/1,0,5,0
RSA encryption misuse,0/0,0/0,0/1,0/0,0/1,0/1,0/1,0/1,0,5,0
Package hardcoded issue,0/1,0/0,0/0,0/0,0/1,0/1,0/0,0/1,0,4,0
Use SQLCipher,0/0,0/1,0/0,0/0,0/0,0/1,0/0,0/0,0,2,0
Weak iv,0/0,0/0,0/0,1/1,0/0,0/1,0/0,0/0,1,2,0
Empty Pending Intent,1/1,0/0,0/0,0/0,0/0,0/0,0/0,1/1,2,2,1
WebView setJSenabled execution,0/1,0/1,0/0,0/0,0/1,0/1,0/1,0/1,0,6,0
WebView local file access,0/1,0/1,0/1,0/1,0/0,0/0,0/0,0/1,0,5,0
Rooted device detection,0/0,0/1,0/0,0/0,0/1,0/1,0/0,0/0,0,3,0
WebView password leakage,0/0,0/0,0/1,0/1,0/0,0/0,0/0,0/1,0,3,0
IP Disclosure,0/0,0/0,0/0,0/0,0/1,0/1,0/0,0/0,0,2,0
Device ID Disclosure,0/0,0/1,0/0,0/0,0/1,0/0,0/0,0/0,0,2,0
Base64 encryption issue,0/0,0/1,0/0,0/0,0/1,0/0,0/0,1/1,1,3,0
Blowfish encryption issue,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/1,0,2,0
DES encryption misuse,0/0,0/0,0/0,0/1,0/1,0/1,0/1,0/1,0,5,0
Insecure hash function,0/0,0/0,0/0,0/1,0/1,0/1,0/1,1/1,1,5,0
Insecure SecureRandom issue,0/0,0/0,0/0,0/1,0/1,0/1,0/1,0/1,0,5,0
Dynamically registered Receiver issue,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/1,1,2,0
Implicit Intent issue,0/0,0/0,1/1,1/1,0/0,0/0,1/1,1/1,4,4,1
Exported not protected components,1/1,1/1,0/0,1/1,1/1,1/1,1/1,1/1,7,7,1
Exported not protected Content Provider,0/1,0/1,0/0,0/1,0/1,0/1,0/1,1/1,1,7,0
Sticky broadcast intent,1/1,0/0,0/0,0/1,0/0,0/0,0/0,0/0,1,2,0
improper provider permission,0/1,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0,2,0
Webview sop warning,0/1,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0,2,0
Webview invalid certificate authentication',0/0,0/1,0/1,0/1,0/1,0/1,0/0,0/1,0,6,0
Webview addJSinterface code exec,0/1,0/1,0/1,0/1,0/1,0/1,0/1,0/0,0,7,0
WebView setPluginState,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0,2,0
Sensitive functionality (getRuntime.exec),0/0,0/1,0/0,0/1,0/1,0/0,0/0,0/1,0,4,0
Sensitive functionality (DexClassLoader),0/0,0/1,0/0,0/1,0/0,0/0,0/1,0/1,0,4,0
Super user privileges,0/0,0/0,0/0,0/0,0/1,0/1,0/0,0/0,0,2,0
Sensitive functionality (loadLibrary),0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/1,0,2,0
SQL injection,0/0,0/0,0/0,0/0,0/1,0/1,1/1,1/1,2,4,1
Fragment injection,0/0,0/1,0/1,0/1,0/0,0/0,0/0,0/1,0,4,0
